Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
10-Mar-2017,191.210000,+1.900000,+1.003645%,188.930000,188.250000,191.240000,"8,967,967","1,701,211,677.231000"
03-Mar-2017,189.310000,+1.900000,+1.013820%,187.500000,186.310000,190.540000,"8,943,802","1,685,809,848.174500"
24-Feb-2017,187.410000,+4.460000,+2.437825%,182.790000,182.040000,188.410000,"9,115,258","1,692,843,631.973600"
17-Feb-2017,182.950000,+3.950000,+2.206704%,179.860000,179.260000,183.600000,"9,854,424","1,792,362,374.815900"
10-Feb-2017,179.000000,+3.960000,+2.262340%,174.120000,173.900000,179.580000,"8,418,008","1,489,895,095.496500"
03-Feb-2017,175.040000,-2.440000,-1.374803%,177.250000,173.550000,177.730000,"11,869,283","2,074,618,499.622500"
27-Jan-2017,177.480000,-1.010000,-0.565858%,177.910000,174.420000,178.990000,"12,782,159","2,263,612,468.610500"
20-Jan-2017,178.490000,+1.100000,+0.620103%,177.000000,176.250000,179.800000,"6,588,571","1,174,726,476.360500"
13-Jan-2017,177.390000,-0.840000,-0.471301%,178.370000,175.750000,178.450000,"7,819,726","1,385,844,551.091500"
06-Jan-2017,178.230000,-0.340000,-0.190402%,178.830000,175.800000,180.000000,"7,124,937","1,268,255,983.361800"
30-Dec-2016,178.570000,-0.180000,-0.100699%,178.660000,178.020000,179.480000,"4,635,156","828,192,424.731600"
23-Dec-2016,178.750000,+1.300000,+0.732601%,177.610000,177.320000,179.530000,"6,273,061","1,121,013,137.791900"
16-Dec-2016,177.450000,-1.040000,-0.582666%,178.250000,175.051000,180.060000,"13,184,206","2,342,939,883.808300"
09-Dec-2016,178.490000,+6.060000,+3.514470%,172.630000,171.085000,178.870000,"11,254,540","1,963,818,388.179300"
02-Dec-2016,172.430000,-1.060000,-0.610986%,173.560000,171.450000,173.770000,"9,385,086","1,618,206,294.864000"
25-Nov-2016,173.490000,+0.530000,+0.306429%,171.420000,170.720000,173.990000,"5,971,042","1,027,039,670.266800"
18-Nov-2016,172.960000,-2.120000,-1.210875%,175.230000,171.570000,175.510000,"10,301,971","1,780,272,004.445100"
11-Nov-2016,175.080000,+8.600000,+5.165786%,168.150000,165.840000,175.130000,"12,694,626","2,175,347,211.135800"
04-Nov-2016,166.480000,+0.710000,+0.428304%,166.460000,163.850000,167.850100,"11,410,841","1,891,712,838.909500"
28-Oct-2016,165.770000,-3.730000,-2.200590%,172.650000,165.110000,173.435500,"12,090,198","2,024,967,405.552900"
21-Oct-2016,169.500000,-0.830000,-0.487289%,170.540000,167.720000,171.910000,"6,803,056","1,154,726,023.187900"
14-Oct-2016,170.330000,-1.000000,-0.583669%,171.840000,168.460000,172.749700,"8,921,602","1,519,104,722.682200"
07-Oct-2016,171.330000,-4.900000,-2.780457%,175.330000,170.041000,175.950000,"11,781,016","2,030,015,553.174900"
30-Sep-2016,176.230000,-1.160000,-0.653926%,176.850000,174.870000,177.980000,"10,221,561","1,804,100,589.198300"
23-Sep-2016,177.390000,+2.330000,+1.330972%,176.050000,176.050000,181.660000,"8,873,445","1,583,060,403.552900"
16-Sep-2016,175.060000,-0.580000,-0.330221%,175.000000,174.385000,178.400000,"10,685,284","1,882,511,352.127600"
09-Sep-2016,175.640000,-5.170000,-2.859355%,180.560000,175.640000,181.280000,"5,968,936","1,067,888,205.747700"
02-Sep-2016,180.810000,+1.400000,+0.780336%,179.860000,178.580000,181.490000,"6,141,919","1,105,245,356.493900"
26-Aug-2016,179.410000,-0.200000,-0.111352%,179.180000,178.370000,181.250000,"5,834,228","1,047,744,076.526200"
19-Aug-2016,179.610000,-0.660000,-0.366117%,181.000000,178.080000,181.390000,"6,384,295","1,146,868,451.173400"
12-Aug-2016,180.270000,+1.700000,+0.952008%,178.900000,177.850000,181.470000,"6,929,097","1,243,245,716.052400"
05-Aug-2016,178.570000,+0.210000,+0.117739%,177.080000,177.080000,179.420000,"8,004,499","1,425,999,628.826200"
